event_date,country,fatalities,year,month,year_month
2024-11-29,honduras,1,2024,Nov,2024-11
2024-11-29,iraq,0,2024,Nov,2024-11
2024-11-29,israel,0,2024,Nov,2024-11
2024-11-29,kenya,0,2024,Nov,2024-11
2024-11-29,nigeria,0,2024,Nov,2024-11
2024-11-29,south africa,0,2024,Nov,2024-11
2024-11-29,yemen,0,2024,Nov,2024-11
2024-11-29,finland,0,2024,Nov,2024-11
2024-11-29,spain,0,2024,Nov,2024-11
2024-11-29,france,0,2024,Nov,2024-11
2024-11-29,india,0,2024,Nov,2024-11
2024-11-29,india,0,2024,Nov,2024-11
2024-11-29,india,0,2024,Nov,2024-11
2024-11-29,india,0,2024,Nov,2024-11
2024-11-29,india,0,2024,Nov,2024-11
2024-11-29,italy,0,2024,Nov,2024-11
2024-11-29,italy,0,2024,Nov,2024-11
2024-11-29,sweden,0,2024,Nov,2024-11
2024-11-29,sweden,0,2024,Nov,2024-11
2024-11-29,sweden,0,2024,Nov,2024-11
2024-11-28,brazil,1,2024,Nov,2024-11
2024-11-28,honduras,1,2024,Nov,2024-11
2024-11-28,kenya,0,2024,Nov,2024-11
2024-11-28,mexico,1,2024,Nov,2024-11
2024-11-28,mexico,1,2024,Nov,2024-11
2024-11-28,south africa,0,2024,Nov,2024-11
2024-11-28,south africa,0,2024,Nov,2024-11
2024-11-28,venezuela,0,2024,Nov,2024-11
2024-11-28,austria,0,2024,Nov,2024-11
2024-11-28,germany,0,2024,Nov,2024-11
2024-11-28,greece,0,2024,Nov,2024-11
2024-11-28,india,0,2024,Nov,2024-11
2024-11-28,india,0,2024,Nov,2024-11
2024-11-28,india,0,2024,Nov,2024-11
2024-11-28,india,0,2024,Nov,2024-11
2024-11-28,india,0,2024,Nov,2024-11
2024-11-28,south korea,0,2024,Nov,2024-11
2024-11-28,south korea,0,2024,Nov,2024-11
2024-11-28,poland,0,2024,Nov,2024-11
2024-11-27,bolivia,0,2024,Nov,2024-11
2024-11-27,brazil,0,2024,Nov,2024-11
2024-11-27,honduras,0,2024,Nov,2024-11
2024-11-27,israel,0,2024,Nov,2024-11
2024-11-27,kenya,0,2024,Nov,2024-11
2024-11-27,mexico,0,2024,Nov,2024-11
2024-11-27,mexico,1,2024,Nov,2024-11
2024-11-27,palestine,0,2024,Nov,2024-11
2024-11-27,south africa,0,2024,Nov,2024-11
2024-11-27,south africa,0,2024,Nov,2024-11
2024-11-27,sudan,0,2024,Nov,2024-11
2024-11-27,turkey,0,2024,Nov,2024-11
2024-11-27,turkey,0,2024,Nov,2024-11
2024-11-27,afghanistan,0,2024,Nov,2024-11
2024-11-27,australia,0,2024,Nov,2024-11
2024-11-27,spain,0,2024,Nov,2024-11
2024-11-27,india,0,2024,Nov,2024-11
2024-11-27,india,0,2024,Nov,2024-11
2024-11-27,india,0,2024,Nov,2024-11
2024-11-27,india,0,2024,Nov,2024-11
2024-11-27,south korea,0,2024,Nov,2024-11
2024-11-27,myanmar,1,2024,Nov,2024-11
2024-11-27,philippines,0,2024,Nov,2024-11
2024-11-27,papua new guinea,0,2024,Nov,2024-11
2024-11-27,united states,0,2024,Nov,2024-11
2024-11-26,kenya,0,2024,Nov,2024-11
2024-11-26,mexico,0,2024,Nov,2024-11
2024-11-26,peru,0,2024,Nov,2024-11
2024-11-26,afghanistan,0,2024,Nov,2024-11
2024-11-26,indonesia,0,2024,Nov,2024-11
2024-11-26,indonesia,0,2024,Nov,2024-11
2024-11-26,indonesia,0,2024,Nov,2024-11
2024-11-26,indonesia,0,2024,Nov,2024-11
2024-11-26,india,0,2024,Nov,2024-11
2024-11-26,india,0,2024,Nov,2024-11
2024-11-26,india,0,2024,Nov,2024-11
2024-11-26,india,0,2024,Nov,2024-11
2024-11-26,india,0,2024,Nov,2024-11
2024-11-26,india,0,2024,Nov,2024-11
2024-11-26,south korea,0,2024,Nov,2024-11
2024-11-26,pakistan,0,2024,Nov,2024-11
2024-11-26,united states,0,2024,Nov,2024-11
2024-11-25,argentina,0,2024,Nov,2024-11
2024-11-25,argentina,0,2024,Nov,2024-11
2024-11-25,argentina,0,2024,Nov,2024-11
2024-11-25,argentina,0,2024,Nov,2024-11
2024-11-25,argentina,0,2024,Nov,2024-11
2024-11-25,argentina,0,2024,Nov,2024-11
2024-11-25,argentina,0,2024,Nov,2024-11
2024-11-25,argentina,0,2024,Nov,2024-11
2024-11-25,bolivia,0,2024,Nov,2024-11
2024-11-25,bolivia,0,2024,Nov,2024-11
2024-11-25,chile,0,2024,Nov,2024-11
2024-11-25,colombia,0,2024,Nov,2024-11
2024-11-25,colombia,0,2024,Nov,2024-11
2024-11-25,colombia,0,2024,Nov,2024-11
2024-11-25,colombia,0,2024,Nov,2024-11
2024-11-25,colombia,0,2024,Nov,2024-11
2024-11-25,colombia,0,2024,Nov,2024-11
2024-11-25,colombia,0,2024,Nov,2024-11
2024-11-25,colombia,0,2024,Nov,2024-11
2024-11-25,costa rica,0,2024,Nov,2024-11
2024-11-25,costa rica,0,2024,Nov,2024-11
2024-11-25,dominican republic,0,2024,Nov,2024-11
2024-11-25,ecuador,0,2024,Nov,2024-11
2024-11-25,ecuador,0,2024,Nov,2024-11
2024-11-25,guatemala,0,2024,Nov,2024-11
2024-11-25,guatemala,0,2024,Nov,2024-11
2024-11-25,guatemala,0,2024,Nov,2024-11
2024-11-25,iraq,0,2024,Nov,2024-11
2024-11-25,israel,0,2024,Nov,2024-11
2024-11-25,kenya,0,2024,Nov,2024-11
2024-11-25,kenya,0,2024,Nov,2024-11
2024-11-25,kenya,0,2024,Nov,2024-11
2024-11-25,kenya,0,2024,Nov,2024-11
2024-11-25,kenya,0,2024,Nov,2024-11
2024-11-25,kenya,0,2024,Nov,2024-11
2024-11-25,kenya,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,mexico,0,2024,Nov,2024-11
2024-11-25,morocco,0,2024,Nov,2024-11
2024-11-25,morocco,0,2024,Nov,2024-11
2024-11-25,morocco,0,2024,Nov,2024-11
2024-11-25,mozambique,0,2024,Nov,2024-11
2024-11-25,nigeria,0,2024,Nov,2024-11
2024-11-25,nigeria,0,2024,Nov,2024-11
2024-11-25,nigeria,0,2024,Nov,2024-11
2024-11-25,paraguay,0,2024,Nov,2024-11
2024-11-25,paraguay,0,2024,Nov,2024-11
2024-11-25,paraguay,0,2024,Nov,2024-11
2024-11-25,paraguay,0,2024,Nov,2024-11
2024-11-25,peru,0,2024,Nov,2024-11
2024-11-25,peru,0,2024,Nov,2024-11
2024-11-25,peru,0,2024,Nov,2024-11
2024-11-25,palestine,0,2024,Nov,2024-11
2024-11-25,south africa,0,2024,Nov,2024-11
2024-11-25,south africa,0,2024,Nov,2024-11
2024-11-25,south africa,0,2024,Nov,2024-11
2024-11-25,south africa,0,2024,Nov,2024-11
2024-11-25,south africa,0,2024,Nov,2024-11
2024-11-25,south africa,0,2024,Nov,2024-11
2024-11-25,south africa,0,2024,Nov,2024-11
2024-11-25,el salvador,0,2024,Nov,2024-11
2024-11-25,turkey,0,2024,Nov,2024-11
2024-11-25,turkey,0,2024,Nov,2024-11
