year_month,event
1997-01,3
1997-02,1
1997-03,1
1997-04,2
1997-06,2
1997-07,2
1997-09,2
1997-11,3
1997-12,2
1998-02,1
1998-03,3
1998-04,1
1998-06,6
1998-07,3
1998-08,1
1998-12,1
1999-01,4
1999-02,2
1999-04,2
1999-05,1
1999-06,4
1999-07,4
1999-08,2
1999-09,3
1999-10,3
1999-11,3
1999-12,7
2000-01,2
2000-02,2
2000-03,4
2000-04,6
2000-05,13
2000-06,9
2000-07,3
2000-08,4
2000-09,7
2000-10,5
2000-11,4
2000-12,1
2001-01,2
2001-03,7
2001-04,3
2001-05,6
2001-06,5
2001-07,5
2001-08,2
2001-09,2
2001-10,4
2001-11,4
2001-12,4
2002-01,5
2002-02,9
2002-03,5
2002-04,2
2002-06,3
2002-07,2
2002-08,1
2002-09,3
2002-10,4
2002-11,1
2003-01,3
2003-02,3
2003-03,2
2003-04,1
2003-05,4
2003-06,5
2003-07,4
2003-08,1
2003-09,2
2003-10,2
2003-11,3
2003-12,4
2004-01,3
2004-02,1
2004-03,5
2004-04,8
2004-05,5
2004-06,4
2004-07,3
2004-08,7
2004-09,5
2004-10,1
2004-11,5
2004-12,4
2005-01,5
2005-02,3
2005-03,5
2005-04,7
2005-05,1
2005-06,2
2005-07,1
2005-08,1
2005-09,1
2005-10,3
2005-11,4
2005-12,3
2006-01,2
2006-02,3
2006-03,5
2006-04,3
2006-05,10
2006-06,7
2006-07,2
2006-09,1
2006-10,3
2006-11,4
2006-12,1
2007-01,7
2007-02,5
2007-03,3
2007-04,5
2007-05,6
2007-06,2
2007-07,2
2007-08,8
2007-09,5
2007-10,6
2007-11,6
2007-12,16
2008-01,10
2008-02,6
2008-03,4
2008-04,5
2008-05,4
2008-06,7
2008-07,6
2008-08,4
2008-09,1
2008-10,6
2008-11,11
2008-12,8
2009-01,5
2009-02,11
2009-03,9
2009-04,9
2009-05,2
2009-06,6
2009-07,8
2009-08,3
2009-09,10
2009-10,6
2009-11,1
2009-12,3
2010-01,25
2010-02,35
2010-03,24
2010-04,28
2010-05,9
2010-06,9
2010-07,36
2010-08,21
2010-09,10
2010-10,26
2010-11,14
2010-12,17
2011-01,26
2011-02,31
2011-03,30
2011-04,31
2011-05,21
2011-06,43
2011-07,25
2011-08,18
2011-09,13
2011-10,30
2011-11,18
2011-12,27
2012-01,37
2012-02,40
2012-03,41
2012-04,30
2012-05,33
2012-06,62
2012-07,27
2012-08,36
2012-09,41
2012-10,38
2012-11,61
2012-12,58
2013-01,47
2013-02,46
2013-03,49
2013-04,42
2013-05,45
2013-06,33
2013-07,23
2013-08,45
2013-09,47
2013-10,40
2013-11,48
2013-12,54
2014-01,39
2014-02,48
2014-03,46
2014-04,38
2014-05,93
2014-06,41
2014-07,53
2014-08,44
2014-09,41
2014-10,37
2014-11,45
2014-12,52
2015-01,39
2015-02,36
2015-03,70
2015-04,58
2015-05,81
2015-06,47
2015-07,36
2015-08,55
2015-09,34
2015-10,45
2015-11,54
2015-12,59
2016-01,88
2016-02,73
2016-03,94
2016-04,81
2016-05,106
2016-06,115
2016-07,103
2016-08,103
2016-09,95
2016-10,93
2016-11,124
2016-12,89
2017-01,111
2017-02,84
2017-03,145
2017-04,190
2017-05,208
2017-06,98
2017-07,77
2017-08,137
2017-09,98
2017-10,134
2017-11,88
2017-12,67
2018-01,374
2018-02,340
2018-03,691
2018-04,385
2018-05,444
2018-06,429
2018-07,397
2018-08,466
2018-09,416
2018-10,424
2018-11,508
2018-12,489
2019-01,358
2019-02,457
2019-03,662
2019-04,369
2019-05,503
2019-06,430
2019-07,515
2019-08,581
2019-09,711
2019-10,526
2019-11,686
2019-12,681
2020-01,864
2020-02,776
2020-03,1155
2020-04,328
2020-05,473
2020-06,684
2020-07,831
2020-08,697
2020-09,827
2020-10,1754
2020-11,1161
2020-12,630
2021-01,867
2021-02,869
2021-03,1699
2021-04,733
2021-05,822
2021-06,953
2021-07,788
2021-08,704
2021-09,886
2021-10,1199
2021-11,1314
2021-12,813
2022-01,739
2022-02,948
2022-03,1674
2022-04,858
2022-05,1710
2022-06,1564
2022-07,1243
2022-08,734
2022-09,1492
2022-10,2033
2022-11,1650
2022-12,966
2023-01,945
2023-02,762
2023-03,1752
2023-04,842
2023-05,1099
2023-06,1093
2023-07,1279
2023-08,937
2023-09,1013
2023-10,1076
2023-11,1125
2023-12,692
2024-01,785
2024-02,870
2024-03,1568
2024-04,741
2024-05,922
2024-06,896
2024-07,803
2024-08,831
2024-09,1026
2024-10,802
2024-11,1005
