unique_id,ds,NLinear,actual,unique_id,ds,DLinear,actual,unique_id,ds,NBEATS,NHITS,actual,unique_id,ds,Informer,Autoformer,VanillaTransformer,actual
1,2022-12-09,71.6239,42,1,2022-12-09,33.454517,42,1,2022-12-09,41.951626,42.271294,42,1,2022-12-09,6.332902,51.133015,40.02787,42
1,2022-12-10,40.658035,64,1,2022-12-10,42.485287,64,1,2022-12-10,41.067867,41.6127,64,1,2022-12-10,6.336121,49.143105,40.277702,64
1,2022-12-11,33.430313,45,1,2022-12-11,36.5166,45,1,2022-12-11,38.17267,42.865883,45,1,2022-12-11,6.413387,48.04885,40.50506,45
1,2022-12-12,48.42476,37,1,2022-12-12,43.57672,37,1,2022-12-12,42.673668,42.064674,37,1,2022-12-12,6.133188,47.165337,40.84475,37
1,2022-12-13,59.525627,30,1,2022-12-13,45.856773,30,1,2022-12-13,39.456127,41.679497,30,1,2022-12-13,6.372694,46.178898,40.444275,30
1,2022-12-14,44.58823,19,1,2022-12-14,49.156868,19,1,2022-12-14,40.211548,42.39366,19,1,2022-12-14,6.375408,46.87078,39.59249,19
1,2022-12-15,56.37863,30,1,2022-12-15,41.67352,30,1,2022-12-15,41.220497,42.65406,30,1,2022-12-15,6.333211,49.477947,39.35565,30
1,2022-12-16,59.215263,22,1,2022-12-16,43.262016,22,1,2022-12-16,47.724075,44.35242,22,1,2022-12-16,6.754986,46.65336,39.32159,22
1,2022-12-17,57.15193,37,1,2022-12-17,46.427044,37,1,2022-12-17,42.68068,41.62237,37,1,2022-12-17,6.754847,46.93292,39.3981,37
1,2022-12-18,37.69748,20,1,2022-12-18,42.113823,20,1,2022-12-18,37.291927,40.786373,20,1,2022-12-18,6.754736,46.944523,39.60051,20
1,2022-12-19,67.05602,29,1,2022-12-19,49.55277,29,1,2022-12-19,40.08299,41.50338,29,1,2022-12-19,6.75466,47.992043,39.872623,29
1,2022-12-20,39.265205,30,1,2022-12-20,39.2821,30,1,2022-12-20,37.14266,40.934845,30,1,2022-12-20,6.754554,46.614235,39.691463,30
1,2022-12-21,44.615906,35,1,2022-12-21,36.81631,35,1,2022-12-21,39.13556,41.253002,35,1,2022-12-21,6.754462,47.488728,41.19661,35
1,2022-12-22,33.05389,22,1,2022-12-22,46.853527,22,1,2022-12-22,41.14087,41.015785,22,1,2022-12-22,6.508803,48.565285,41.171947,22
1,2022-12-23,50.814484,28,1,2022-12-23,35.837795,28,1,2022-12-23,43.76436,38.81708,28,1,2022-12-23,6.692854,50.542244,41.16967,28
1,2022-12-24,59.503174,33,1,2022-12-24,42.797737,33,1,2022-12-24,41.190643,39.448803,33,1,2022-12-24,6.382677,49.952778,41.20419,33
1,2022-12-25,50.1712,20,1,2022-12-25,52.143696,20,1,2022-12-25,38.808163,37.89066,20,1,2022-12-25,6.266536,52.050938,40.640465,20
