unique_id,ds,NLinear,actual,unique_id,ds,DLinear,actual,unique_id,ds,NBEATS,NHITS,actual,unique_id,ds,Informer,Autoformer,VanillaTransformer,actual
1,2022-12-09,8.984018,5,1,2022-12-09,7.281966,5,1,2022-12-09,9.801091,10.242218,5,1,2022-12-09,2.374996,8.59269,7.010584,5
1,2022-12-10,11.05777,5,1,2022-12-10,7.807152,5,1,2022-12-10,10.050244,10.404343,5,1,2022-12-10,3.497938,8.974851,7.03761,5
1,2022-12-11,9.441545,1,1,2022-12-11,7.021092,1,1,2022-12-11,9.538692,10.197071,1,1,2022-12-11,3.498901,9.401355,7.038397,1
1,2022-12-12,6.474362,6,1,2022-12-12,6.790625,6,1,2022-12-12,9.853395,10.259253,6,1,2022-12-12,3.456163,9.376848,7.028898,6
1,2022-12-13,10.216984,2,1,2022-12-13,6.701567,2,1,2022-12-13,8.78276,10.29121,2,1,2022-12-13,3.424434,9.409795,7.02016,2
1,2022-12-14,15.607878,4,1,2022-12-14,8.014852,4,1,2022-12-14,9.517803,10.151394,4,1,2022-12-14,3.413281,9.90609,7.014743,4
1,2022-12-15,5.821322,4,1,2022-12-15,7.403387,4,1,2022-12-15,8.630886,10.177635,4,1,2022-12-15,3.475318,9.285509,7.014035,4
1,2022-12-16,8.636,5,1,2022-12-16,6.75262,5,1,2022-12-16,9.037842,9.874163,5,1,2022-12-16,3.571902,9.508082,7.023226,5
1,2022-12-17,7.360916,11,1,2022-12-17,9.404021,11,1,2022-12-17,9.231232,9.8557,11,1,2022-12-17,3.572989,9.775707,7.033269,11
1,2022-12-18,10.271477,7,1,2022-12-18,7.545118,7,1,2022-12-18,9.025624,9.716185,7,1,2022-12-18,3.574462,9.48827,7.044201,7
1,2022-12-19,11.685755,11,1,2022-12-19,8.465797,11,1,2022-12-19,9.009522,10.268103,11,1,2022-12-19,3.575417,9.292111,7.050229,11
1,2022-12-20,4.01999,6,1,2022-12-20,8.600756,6,1,2022-12-20,8.65719,9.946625,6,1,2022-12-20,3.57441,9.788054,7.049771,6
1,2022-12-21,10.490439,5,1,2022-12-21,8.515857,5,1,2022-12-21,8.926934,9.76313,5,1,2022-12-21,3.574125,8.91746,7.049328,5
1,2022-12-22,6.107034,7,1,2022-12-22,6.441856,7,1,2022-12-22,8.515926,9.674715,7,1,2022-12-22,3.57328,9.117901,7.043352,7
1,2022-12-23,16.843151,7,1,2022-12-23,7.880065,7,1,2022-12-23,8.54111,9.815578,7,1,2022-12-23,3.831514,9.844858,7.046457,7
1,2022-12-24,10.316038,4,1,2022-12-24,8.927021,4,1,2022-12-24,8.935697,9.951803,4,1,2022-12-24,3.902256,8.781207,7.055767,4
1,2022-12-25,12.175711,4,1,2022-12-25,9.778793,4,1,2022-12-25,8.974935,10.073038,4,1,2022-12-25,3.893922,9.684879,7.054417,4
1,2022-12-26,13.032098,1,1,2022-12-26,7.120736,1,1,2022-12-26,9.220866,10.1455,1,1,2022-12-26,3.865222,8.742611,7.053691,1
1,2022-12-27,11.60668,4,1,2022-12-27,5.858244,4,1,2022-12-27,9.493132,10.856264,4,1,2022-12-27,3.161706,9.555695,7.048406,4
1,2022-12-28,5.736472,3,1,2022-12-28,5.430686,3,1,2022-12-28,9.38566,10.253525,3,1,2022-12-28,3.502406,9.171778,7.043366,3
1,2022-12-29,9.907012,4,1,2022-12-29,9.138817,4,1,2022-12-29,9.02067,10.180052,4,1,2022-12-29,3.7364,9.136238,7.044397,4
1,2022-12-30,10.197052,7,1,2022-12-30,10.072616,7,1,2022-12-30,9.123915,10.001072,7,1,2022-12-30,4.001496,8.995081,7.047512,7
1,2022-12-31,9.441321,4,1,2022-12-31,10.138056,4,1,2022-12-31,9.006487,10.368544,4,1,2022-12-31,4.000506,9.046082,7.045645,4
1,2023-01-01,11.595476,10,1,2023-01-01,8.53378,10,1,2023-01-01,9.605759,10.426731,10,1,2023-01-01,4.002197,9.020951,7.042946,10
1,2023-01-02,6.797232,2,1,2023-01-02,8.963089,2,1,2023-01-02,9.229155,10.685637,2,1,2023-01-02,4.00396,8.894835,7.043278,2
1,2023-01-03,12.237174,19,1,2023-01-03,8.269654,19,1,2023-01-03,9.198124,10.883268,19,1,2023-01-03,4.006643,8.946331,7.04547,19
1,2023-01-04,9.327272,7,1,2023-01-04,7.494768,7,1,2023-01-04,9.352515,10.381313,7,1,2023-01-04,4.007102,8.560883,7.053092,7
1,2023-01-05,7.715214,3,1,2023-01-05,8.162542,3,1,2023-01-05,9.323268,10.469561,3,1,2023-01-05,3.998331,10.195635,7.038906,3
1,2022-12-10,11.994345,5,1,2022-12-10,8.30833,5,1,2022-12-10,9.447886,10.025535,5,1,2022-12-10,3.074348,8.633647,6.969433,5
1,2022-12-11,11.996302,1,1,2022-12-11,7.918432,1,1,2022-12-11,9.629393,10.16939,1,1,2022-12-11,3.497857,8.965904,7.037496,1
1,2022-12-12,14.405731,6,1,2022-12-12,8.249272,6,1,2022-12-12,9.496847,10.02158,6,1,2022-12-12,3.522088,9.252977,7.038934,6
1,2022-12-13,11.199288,2,1,2022-12-13,8.362596,2,1,2022-12-13,9.882442,9.850914,2,1,2022-12-13,3.571108,9.053899,7.030662,2
1,2022-12-14,12.56292,4,1,2022-12-14,7.573553,4,1,2022-12-14,9.745544,9.825967,4,1,2022-12-14,3.274752,9.078337,7.02229,4
1,2022-12-15,6.75421,4,1,2022-12-15,8.71771,4,1,2022-12-15,9.624031,9.833839,4,1,2022-12-15,3.416496,8.901985,7.015723,4
1,2022-12-16,15.203624,5,1,2022-12-16,7.997044,5,1,2022-12-16,9.785546,9.648049,5,1,2022-12-16,3.313836,9.44857,7.014224,5
1,2022-12-17,11.304577,11,1,2022-12-17,5.965465,11,1,2022-12-17,9.635736,9.742309,11,1,2022-12-17,3.560426,9.531885,7.02339,11
1,2022-12-18,8.588978,7,1,2022-12-18,7.353593,7,1,2022-12-18,9.352059,9.771576,7,1,2022-12-18,3.561534,9.139388,7.033288,7
1,2022-12-19,15.488943,11,1,2022-12-19,7.215994,11,1,2022-12-19,9.355083,9.382849,11,1,2022-12-19,3.563032,9.622012,7.044544,11
1,2022-12-20,12.812532,6,1,2022-12-20,6.661758,6,1,2022-12-20,9.768393,9.585243,6,1,2022-12-20,3.56402,9.76244,7.051472,6
1,2022-12-21,8.584465,5,1,2022-12-21,7.335472,5,1,2022-12-21,9.597664,9.870743,5,1,2022-12-21,3.563006,9.26581,7.051562,5
1,2022-12-22,5.240349,7,1,2022-12-22,8.959942,7,1,2022-12-22,9.516579,9.562117,7,1,2022-12-22,3.562706,9.213659,7.051912,7
1,2022-12-23,8.292143,7,1,2022-12-23,7.660641,7,1,2022-12-23,9.541298,9.369047,7,1,2022-12-23,3.372534,9.274797,7.045868,7
1,2022-12-24,15.270228,4,1,2022-12-24,6.740114,4,1,2022-12-24,10.153088,9.793249,4,1,2022-12-24,3.728268,9.132219,7.048755,4
1,2022-12-25,17.486496,4,1,2022-12-25,8.066792,4,1,2022-12-25,9.720873,9.549549,4,1,2022-12-25,3.525961,9.325287,7.057685,4
1,2022-12-26,10.13055,1,1,2022-12-26,7.293252,1,1,2022-12-26,9.570209,9.936761,1,1,2022-12-26,3.511849,9.444544,7.055706,1
1,2022-12-27,5.946134,4,1,2022-12-27,8.242893,4,1,2022-12-27,9.820657,9.690284,4,1,2022-12-27,4.036141,9.286957,7.055003,4
1,2022-12-28,8.201804,3,1,2022-12-28,8.212688,3,1,2022-12-28,10.088934,9.710553,3,1,2022-12-28,3.658682,9.295166,7.049477,3
1,2022-12-29,7.397348,4,1,2022-12-29,6.58162,4,1,2022-12-29,9.801516,9.814886,4,1,2022-12-29,3.148059,9.398567,7.044192,4
1,2022-12-30,7.281498,7,1,2022-12-30,7.749527,7,1,2022-12-30,10.047516,9.840714,7,1,2022-12-30,3.659242,9.222306,7.045476,7
1,2022-12-31,9.297062,4,1,2022-12-31,8.151949,4,1,2022-12-31,9.871102,9.883599,4,1,2022-12-31,4.005828,9.490196,7.0493,4
1,2023-01-01,15.289979,10,1,2023-01-01,7.217346,10,1,2023-01-01,9.688845,9.819304,10,1,2023-01-01,4.00467,9.104018,7.048442,10
1,2023-01-02,7.016676,2,1,2023-01-02,7.683334,2,1,2023-01-02,10.153538,9.699648,2,1,2023-01-02,4.00625,9.263013,7.046107,2
1,2023-01-03,12.586025,19,1,2023-01-03,8.208074,19,1,2023-01-03,9.415219,9.846015,19,1,2023-01-03,4.007935,9.194775,7.046001,19
1,2023-01-04,14.936377,7,1,2023-01-04,8.076794,7,1,2023-01-04,9.933364,10.006465,7,1,2023-01-04,4.010592,8.849726,7.047869,7
1,2023-01-05,16.323433,3,1,2023-01-05,9.307915,3,1,2023-01-05,9.741745,9.668447,3,1,2023-01-05,4.010959,8.983233,7.055343,3
1,2023-01-06,10.206065,2,1,2023-01-06,7.93751,2,1,2023-01-06,9.954523,9.524206,2,1,2023-01-06,3.98544,7.898561,6.961558,2
1,2022-12-11,12.21118,1,1,2022-12-11,6.952441,1,1,2022-12-11,9.498646,9.842225,1,1,2022-12-11,3.121998,8.628538,6.947407,1
1,2022-12-12,10.658348,6,1,2022-12-12,10.428432,6,1,2022-12-12,9.422136,9.849576,6,1,2022-12-12,3.50631,8.741003,7.018186,6
1,2022-12-13,10.595193,2,1,2022-12-13,7.027416,2,1,2022-12-13,9.359715,9.905931,2,1,2022-12-13,3.394693,8.653264,7.022212,2
1,2022-12-14,10.22621,4,1,2022-12-14,9.339757,4,1,2022-12-14,9.874254,9.836688,4,1,2022-12-14,3.602055,8.890827,7.015306,4
1,2022-12-15,9.798964,4,1,2022-12-15,8.334042,4,1,2022-12-15,9.60524,9.970369,4,1,2022-12-15,3.527607,8.824248,7.006652,4
1,2022-12-16,6.670944,5,1,2022-12-16,7.394972,5,1,2022-12-16,9.56541,10.027214,5,1,2022-12-16,2.978482,9.224339,6.997892,5
1,2022-12-17,9.04553,11,1,2022-12-17,7.024584,11,1,2022-12-17,9.717434,9.900501,11,1,2022-12-17,3.329587,9.104905,6.993544,11
1,2022-12-18,10.283574,7,1,2022-12-18,8.753056,7,1,2022-12-18,9.814914,9.848903,7,1,2022-12-18,3.588576,8.774572,7.002088,7
1,2022-12-19,7.793124,11,1,2022-12-19,8.184594,11,1,2022-12-19,9.13623,9.619082,11,1,2022-12-19,3.58979,8.906765,7.01248,11
1,2022-12-20,10.144196,6,1,2022-12-20,6.902892,6,1,2022-12-20,9.549321,9.399258,6,1,2022-12-20,3.591377,9.653867,7.02541,6
1,2022-12-21,11.853168,5,1,2022-12-21,6.751982,5,1,2022-12-21,9.497817,9.664271,5,1,2022-12-21,3.592478,8.58723,7.033978,5
1,2022-12-22,14.109339,7,1,2022-12-22,7.403876,7,1,2022-12-22,9.527585,9.737804,7,1,2022-12-22,3.591524,8.641644,7.033656,7
1,2022-12-23,17.462048,7,1,2022-12-23,6.843992,7,1,2022-12-23,9.445371,9.785354,7,1,2022-12-23,3.591302,8.636527,7.034016,7
1,2022-12-24,11.474733,4,1,2022-12-24,6.687998,4,1,2022-12-24,9.518724,9.782297,4,1,2022-12-24,3.590531,7.981769,7.02791,4
1,2022-12-25,13.863669,4,1,2022-12-25,7.361476,4,1,2022-12-25,10.200237,9.840623,4,1,2022-12-25,3.675067,8.664364,7.030491,4
1,2022-12-26,6.539726,1,1,2022-12-26,9.341413,1,1,2022-12-26,9.638499,9.76983,1,1,2022-12-26,3.885625,7.919462,7.038841,1
1,2022-12-27,10.467366,4,1,2022-12-27,6.93778,4,1,2022-12-27,9.428297,10.061371,4,1,2022-12-27,3.375122,8.613838,7.036806,4
1,2022-12-28,8.032392,3,1,2022-12-28,8.280336,3,1,2022-12-28,9.868554,9.99956,3,1,2022-12-28,4.025278,8.45643,7.036846,3
1,2022-12-29,9.644386,4,1,2022-12-29,6.40699,4,1,2022-12-29,9.946844,10.082873,4,1,2022-12-29,3.702776,8.592381,7.031222,4
1,2022-12-30,8.229264,7,1,2022-12-30,8.594824,7,1,2022-12-30,9.766924,10.147665,7,1,2022-12-30,3.033804,8.693191,7.025981,7
